,hidden_size,loss,test_accuracy
0,"[1000, 500, 100, 10]",0.5071041563585881,61.1875
1,"[1000, 500, 200, 10]",0.6111785263544128,60.575
2,"[1000, 500, 50, 10]",0.6782167193389708,60.5125
3,"[1000, 700, 100, 10]",0.5831790148250519,59.4875
4,"[1000, 300, 100, 10]",0.6213269806917636,60.025
